Reference, Quantity, Value, Footprint, Datasheet, Item Cost, MFN, Supplier, Supplier P/N
C1 C2 ,2,".1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0.20","C0805C104J5RAC7025","Digi-Key","399-C0805C104J5RAC7025CT-ND"
D1 ,1,"Red","LED_SMD:LED_0805_2012Metric","https://www.we-online.de/katalog/datasheet/150080RS75000.pdf~","0.18","150080RS75000","Digi-Key","732-4984-1-ND"
D2 ,1,"1N4735A","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://rocelec.widen.net/view/pdf/7qfz7dzkx8/ONSM-S-A0003585147-1.pdf?t.download=true&u=5oefqw","0.27","1N4735A","Digi-Key","1N4735AFS-ND"
D3 ,1,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://rocelec.widen.net/view/pdf/bhc41r7lwc/ONSM-S-A0003539415-1.pdf?t.download=true&u=5oefqw","0.10","1N4148","Digi-Key","1N4148FS-ND"
D4 ,1,"Green","LED_SMD:LED_0805_2012Metric","https://www.we-online.de/katalog/datasheet/150080VS75000.pdf","0.18","150080VS75000","Digi-Key","732-4986-1-ND"
D5 ,1,"8oSQo45N","Diode_THT:D_DO-27_P15.24mm_Horizontal","https://www.onsemi.com/pub/Collateral/80SQ045N-D.PDF~","0.76","80SQ045NRLG","Digi-Key","80SQ045NRLGOSCT-ND"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
J1 J2 ,2,"Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
Q1 Q2 Q3 ,3,"2N3904","Package_TO_SOT_THT:TO-92","https://www.mccsemi.com/pdf/Products/2N3904(TO-92).pdf~","0.18","2N3904-AP","Digi-Key","2N3904-APCT-ND"
Q4 ,1,"FQP12P20","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP12P20-D.pdf","1.50","FQP12P20","Digi-Key","FQP12P20-ND"
R1 R5 R6 ,3,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73H.pdf","0.10","RK73H2ATTD1002F","Digi-Key","2019-RK73H2ATTD1002FCT-ND"
R10 ,1,"3.9k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD392J","Digi-Key","2019-RK73B2ATTD392JCT-ND"
R2 ,1,"4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD472J","Digi-Key","2019-RK73B2ATTD472JCT-ND"
R3 ,1,"5.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73H.pdf","0.10","RK73H2ATTD5231F","Digi-Key","2019-RK73H2ATTD5231FCT-ND"
R4 ,1,"20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73B.pdf","0.10","RK73B2ATTD203J","Digi-Key","2019-RK73B2ATTD203JCT-ND"
R7 ,1,"9.4k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73H.pdf","0.10","RK73H2ATTD9311F","Digi-Key","2019-RK73H2ATTD9311FCT-ND"
R8 ,1,"10.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73H.pdf","0.10","RK73H2ATTD1022F","Digi-Key","2019-RK73H2ATTD1022FCT-ND"
R9 ,1,"11.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.koaspeer.com/pdfs/RK73H.pdf","0.10","KOA Speer Electronics, Inc.","Digi-Key","2019-RK73H2ATTD1102FCT-ND"
RV1 ,1,"10k","Potentiometer_THT:Potentiometer_Bourns_3299Y_Vertical","https://www.bourns.com/docs/Product-Datasheets/pv37.pdf","2.08","PV37W103C01B00","Digi-Key","490-2970-ND"